iter	RMSE
0	2.415105452
1	2.372627136
2	2.333587017
3	2.296152071
4	2.257903505
5	2.222545836
6	2.18688409
7	2.151958231
8	2.11814782
9	2.081672009
10	2.053547237
11	2.020591211
12	1.991147714
13	1.957135361
14	1.924682992
15	1.894176016
16	1.862855491
17	1.833083955
18	1.806531681
19	1.778669225
20	1.753320154
21	1.728102134
22	1.701596498
23	1.675459674
24	1.650051958
25	1.626501947
26	1.603188358
27	1.580000004
28	1.555260684
29	1.532840606
30	1.509965505
31	1.487888389
32	1.468854513
33	1.450932915
34	1.429794922
35	1.409846442
36	1.389630931
37	1.370652511
38	1.353212521
39	1.334398389
40	1.315591206
41	1.297719578
42	1.280204035
43	1.26237106
44	1.245242923
45	1.228289611
46	1.213824159
47	1.19666742
48	1.180719318
49	1.164568414
50	1.149339503
51	1.133979636
52	1.118663259
53	1.103647243
54	1.089036642
55	1.075347463
56	1.061080308
57	1.046948872
58	1.033424388
59	1.020168782
60	1.00737339
61	0.9946359675
62	0.9823428978
63	0.9705776042
64	0.9590438105
65	0.9464266648
66	0.9361092197
67	0.9248371556
68	0.9160744772
69	0.9052769168
70	0.8940425747
71	0.8845416076
72	0.873143494
73	0.8624492337
74	0.8525857518
75	0.8427523357
76	0.8327053495
77	0.8229463764
78	0.8129351545
79	0.8058913468
80	0.7959352898
81	0.7869643376
82	0.7774035091
83	0.7679350821
84	0.759240143
85	0.7502985565
86	0.7413183245
87	0.7330954596
88	0.7247042795
89	0.7168530109
90	0.7091071361
91	0.7016664368
92	0.6937773051
93	0.6858332778
94	0.6783719804
95	0.670683867
96	0.6631791395
97	0.6563092966
98	0.6493768491
99	0.6429200503
100	0.6358892188
101	0.6288561045
102	0.6220281417
103	0.6156142333
104	0.6089611925
105	0.6026333808
106	0.5960429979
107	0.589539418
108	0.5832119558
109	0.577075527
110	0.5708351832
111	0.5653616894
112	0.5594824949
113	0.5553420242
114	0.5495969405
115	0.543875488
116	0.5385127484
117	0.5333070354
118	0.5278188309
119	0.5223819494
120	0.5173928626
121	0.5123531444
122	0.5072511256
123	0.5024143091
124	0.4974110951
125	0.4932373324
126	0.4884808042
127	0.4837656723
128	0.4792407566
129	0.4746444561
130	0.4700137349
131	0.4656539822
132	0.4615871925
133	0.4575821348
134	0.4531614306
135	0.4489843535
136	0.4447293658
137	0.4409329002
138	0.436882629
139	0.4327572685
140	0.4284080909
141	0.4248002841
